What is your current CGPA?,PerformanceLevel,attendance_pct,How many hour do you study daily?,How many hour do you spent daily in social media?,What was your previous SGPA?,merit_scholar,uses_univ_transport,uses_smartphone,has_computer,attends_consultancy,How many hour do you spent daily on your skill development?
3.42,Good,100.0,6,2,3.72,0,1,1,1,1,5
1.96,Poor,85.0,3,3,1.96,1,0,1,0,1,1
3.6,Good,95.0,2,1,3.38,1,1,1,1,1,2
2.8,Average,80.0,7,2,2.8,0,1,1,1,0,2
3.59,Good,100.0,5,4,3.36,0,0,1,1,1,2
3.1,Good,85.0,2,4,3.33,0,0,1,1,1,1
2.54,Average,90.0,1,2,2.11,0,0,1,1,1,2
3.05,Good,52.0,1,6,2.83,0,0,1,1,1,1
2.2,Average,88.0,3,4,2.2,1,1,1,1,0,2
3.22,Good,98.0,6,6,3.2,0,1,1,1,1,3
3.2,Good,70.0,4,1,2.81,0,0,1,1,1,2
3.48,Good,100.0,5,2,3.48,0,0,0,1,0,5
0.0,Poor,90.0,5,6,4.0,1,0,1,1,0,5
4.0,Good,100.0,2,6,4.0,1,1,1,1,0,4
3.5,Good,90.0,4,6,3.7,1,1,1,1,0,1
0.0,Poor,100.0,3,6,0.0,1,1,1,0,1,0
0.0,Poor,90.0,4,5,3.68,1,1,1,1,0,3
3.3,Good,95.0,5,2,3.3,1,0,1,1,0,2
3.1,Good,88.0,4,2,3.85,0,0,1,1,1,6
3.78,Good,90.0,2,3,4.0,1,0,1,1,1,5
2.91,Average,97.0,4,1,2.98,0,0,1,1,0,2
3.75,Good,100.0,5,15,3.64,1,1,1,1,0,4
3.58,Good,95.0,6,1,3.56,1,0,1,1,0,2
3.1,Good,65.0,1,2,1.68,0,1,1,1,1,1
2.54,Average,80.0,3,5,2.54,0,1,1,1,0,2
3.9,Good,95.0,7,1,3.9,0,0,1,1,0,1
3.77,Good,90.0,6,3,3.84,1,1,1,1,1,1
3.39,Good,70.0,1,1,3.68,1,1,1,1,1,6
3.14,Good,95.0,2,2,3.14,1,1,1,1,0,2
3.23,Good,95.0,4,4,3.69,0,0,1,1,1,1
3.08,Good,95.0,3,1,2.73,0,0,1,1,1,6
3.0,Average,80.0,2,1,3.48,0,0,1,1,0,4
2.61,Average,75.0,5,12,2.61,1,1,1,1,1,2
0.0,Poor,100.0,7,2,0.0,0,0,1,1,1,2
2.68,Average,88.0,1,2,2.8,0,0,1,1,1,1
2.15,Average,90.0,1,1,1.52,0,0,1,1,1,2
3.08,Good,85.0,2,3,3.12,0,0,1,1,1,3
3.33,Good,90.0,5,1,3.68,0,0,1,1,1,3
2.64,Average,85.0,4,1,2.25,1,0,1,0,1,1
3.43,Good,90.0,1,1,3.5,1,0,1,1,1,1
0.0,Poor,100.0,6,1,0.0,1,1,0,0,1,3
3.72,Good,90.0,2,1,3.36,1,0,1,1,0,2
3.83,Good,99.0,1,4,3.83,1,0,1,1,0,2
2.98,Average,90.0,4,1,1.98,0,1,1,1,1,4
3.37,Good,98.0,3,2,3.37,0,1,1,1,0,2
3.15,Good,88.0,3,3,3.15,1,1,1,1,1,1
